Turtle ID,Trip Date,Trip Month,Trip Day, BMI,Hemolysis,Lipemia,Amylase ,AST  ,CPK  ,Calcium  ,Cholesterol  ,Potassium   ,Magnesium  ,Sodium  ,Chloride  ,CO2  ,Glucose  ,BUN ,Anion Gap  ,Osmolality  ,Phosphorus  ,UricAcid  ,Total Protein  ,Triglycerides ,Total Protein (3.2-5.6)    (g/dl)
CC081816-1,8/18/16,8,18,12.79,0,0,378,171,877,9.2,98,4,4.7,142,115,24,81,13,3,273,7.9,0.6,3.1,68,3.1
CC050417-1,5/4/17,5,4,13.79,0,1,1126,346,1138,13.4,293,4,6.1,144,109,28,115,8,7,277,10.1,0.9,5.6,1065,5.6
CC050417-3,5/4/17,5,4,14.70,0,0,582,179,1061,11.5,216,3.6,6.8,139,106,25,76,11,9,267,12.5,0.7,6.2,1163,6.2
CC060617-2,6/6/17,6,6,16.63,0,0,478,297,574,11,149,3.6,6.2,136,106,28,73,3,2,258,7.9,0.8,4.8,801,4.8
CC062017-1,6/20/17,6,20,11.80,0,1,656,182,1246,9.5,182,3.6,6.3,139,116,21,79,14,2,268,8.5,0.9,3.7,841,3.7
CC072117-1,7/21/17,7,21,12.91,0,0,702,176,455,8.7,208,3.4,4.9,139,112,29,66,6,-2,264,5.4,0.6,3.2,395,3.2
CC072117-3,7/21/17,7,21,14.24,0,0,495,186,1070,7,242,4.4,4.4,141,110,27,89,17,4,273,8,0.8,3.1,69,3.1
CC080817-1,8/8/17,8,8,12.34,0,0,305,155,229,8.3,135,3.3,5.7,135,112,23,65,11,0,259,8.5,0.6,3,211,3
CC080817-2,8/8/17,8,8,13.50,0,0,284,150,650,10.6,152,3.2,6.3,143,114,25,73,11,4,274,10.5,0.6,3.6,113,3.6
CC080817-3,8/8/17,8,8,12.91,0,0,520,160,576,7.3,157,3.6,6.2,142,116,25,94,28,1,279,8.8,0.5,3.1,67,3.1
CC051218-1,5/12/18,5,12,11.94,2,1,658,131,358,6.9,194,4,5.9,143,114,14,41,9,15,271,9.3,1,5,972,5
CC051218-2,5/12/18,5,12,13.27,0,0,973,302,377,11,247,3.4,5.3,142,114,19,59,7,10,270,9.7,1,5,1647,5
CC052918-1,5/29/18,5,29,12.72,0,0,528,194,1361,12.1,185,3.5,5.5,147,118,27,76,8,7,280,9.8,0.8,5.5,870,5.5
CC052918-2,5/29/18,5,29,12.84,0,1,642,142,500,1.4,122,4.3,5.2,141,115,13,51,9,13,268,8.8,0.6,4.3,527,4.3
CC060418-1,6/4/18,6,4,11.40,3,0,709,153,700,10.7,141,3.5,6.3,144,117,24,66,9,3,275,8.2,0.4,3.9,529,3.9
CC060418-2,6/4/18,6,4,13.13,0,0,940,183,712,11.8,187,3.1,5.8,146,117,22,80,10,7,280,8.6,0.8,5.5,851,5.5
CC060418-4,6/4/18,6,4,14.59,0,0,702,580,998,12.2,167,3.5,4.3,147,115,22,84,11,10,282,8.9,0.7,5.5,940,5.5
CC061418-1,6/14/18,6,14,11.61,0,0,595,196,523,11.7,173,3,5.2,146,113,24,54,10,8,278,9.2,0.7,4.7,563,4.7
CC061418-2,6/14/18,6,14,13.17,2,0,839,188,141,11.3,310,3.8,6.4,148,123,24,90,8,1,283,8.2,0.6,4.8,837,4.8
