Month Laid,Zone,Latitude,Longitude,GPS acc (m),Green,Loggerhead,Leatherback,Dist
9,14,27.73786655,-80.38299347,5,1,0,0,0
8,16,27.72856536,-80.37964641,5,1,0,0,0
8,14,27.74055698,-80.38416939,5,0,1,0,0
8,15,27.73065792,-80.38023023,5,1,0,0,0
5,14,27.73855989,-80.38327804,5,0,1,0,0
5,10,27.75969857,-80.39497273,10,0,1,0,0
5,15,27.7346805,-80.38165762,5,0,1,0,0
5,15,27.73692932,-80.38259688,5,0,1,0,0
5,10,27.76294855,-80.3965494,5,0,1,0,0
5,13,27.7484368,-80.38811304,5,0,1,0,0
5,10,27.75752332,-80.39333852,5,0,1,0,0
5,15,27.73310005,-80.3810399,5,0,1,0,0
5,11,27.75111444,-80.38936854,5,0,1,0,0
5,15,27.73548963,-80.38195039,5,0,1,0,0
5,15,27.73386617,-80.38130857,5,0,1,0,0
5,13,27.75025905,-80.38903284,5,0,1,0,0
5,17,27.71911431,-80.37679484,5,0,1,0,0
5,11,27.75124543,-80.38940438,5,0,1,0,0
5,10,27.76031311,-80.39515847,5,0,1,0,0
5,10,27.76145922,-80.3958642,5,0,1,0,0
5,10,27.75901353,-80.3942884,5,0,1,0,0
5,15,27.73160406,-80.38052647,5,0,1,0,0
5,17,27.71784272,-80.37641362,5,1,0,0,0
5,15,27.73537819,-80.38185857,5,0,1,0,0
5,11,27.75587014,-80.3921721,5,0,1,0,0
5,15,27.73571923,-80.38202519,5,0,1,0,0
5,13,27.74700223,-80.3871965,5,0,1,0,0
5,11,27.75499017,-80.39163373,5,0,1,0,0
5,16,27.72698876,-80.37925521,5,0,1,0,0
5,10,27.75785495,-80.39340218,10,0,1,0,0
6,17,27.71455949,-80.3754742,10,0,1,0,0
6,14,27.73986878,-80.38374312,5,0,1,0,0
5,10,27.75964985,-80.39470398,10,0,1,0,0
5,17,27.71642102,-80.37608535,5,0,1,0,0
5,11,27.75404616,-80.39108961,5,1,0,0,0
5,15,27.73557429,-80.38198141,5,0,1,0,0
5,11,27.75646685,-80.39248284,5,0,1,0,0
5,15,27.73004244,-80.37998347,5,1,0,0,0
6,10,27.75786176,-80.39341921,5,1,0,0,0
6,10,27.75961711,-80.39468041,5,0,1,0,0
5,15,27.73262927,-80.38083324,5,1,0,0,0
5,15,27.73429391,-80.38147055,5,0,1,0,0
6,10,27.75776406,-80.39334786,5,0,1,0,0
5,11,27.75106808,-80.38939224,5,0,1,0,0
6,11,27.75180837,-80.38977805,5,0,1,0,0
6,15,27.73176268,-80.38044439,5,0,1,0,0
6,10,27.76043927,-80.39523001,5,0,1,0,0
6,9,27.76667322,-80.39836533,5,0,1,0,0
6,15,27.72995752,-80.37993949,5,0,1,0,0
6,13,27.74776096,-80.38771829,5,1,0,0,0
5,16,27.72673545,-80.37916726,5,1,0,0,0
5,9,27.76565644,-80.3978633,5,1,0,0,0
6,9,27.76329243,-80.39674683,5,0,1,0,0
6,17,27.71637581,-80.37606397,5,1,0,0,0
5,10,27.75884094,-80.39409717,5,0,1,0,0
6,11,27.75349027,-80.39072528,5,0,1,0,0
6,10,27.75906711,-80.39434211,5,0,1,0,0
5,17,27.71251751,-80.3748111,5,0,1,0,0
5,11,27.75632073,-80.39256036,5,0,1,0,0
4,17,27.71310403,-80.37502416,5,0,1,0,0
5,17,27.71634618,-80.37607644,5,0,1,0,0
5,14,27.74276025,-80.38519772,5,0,1,0,0
5,13,27.74814066,-80.38800068,5,0,1,0,0
5,10,27.76132851,-80.39577774,5,0,1,0,0
5,17,27.71851587,-80.37665234,5,0,1,0,0
5,16,27.72145406,-80.3775832,5,0,1,0,0
6,15,27.73125989,-80.38032829,5,0,1,0,0
6,10,27.75801295,-80.3935008,5,0,1,0,0
6,11,27.75325721,-80.39057699,5,1,0,0,0
6,10,27.76205171,-80.39613028,5,0,1,0,0
4,17,27.71855026,-80.37659801,5,0,1,0,0
6,17,27.71248324,-80.37489777,5,0,1,0,0
6,13,27.74624354,-80.38689506,5,1,0,0,0
6,10,27.76129741,-80.39575513,5,0,1,0,0
6,16,27.72370777,-80.37846969,5,1,0,0,0
6,11,27.75131271,-80.38960278,5,1,0,0,0
6,11,27.75458687,-80.39139661,5,0,1,0,0
6,10,27.75957031,-80.39458586,5,0,1,0,0
6,10,27.76043734,-80.39522961,5,0,1,0,0
6,14,27.74429558,-80.38593909,5,0,1,0,0
6,17,27.71795331,-80.37645107,10,1,0,0,0
6,16,27.72473975,-80.37869159,5,1,0,0,0
6,10,27.75826382,-80.39372161,5,1,0,0,0
6,15,27.73588449,-80.38207263,5,1,0,0,0
5,13,27.7489997,-80.38839994,5,0,0,1,0
6,11,27.7570617,-80.39292258,5,1,0,0,0
6,14,27.73805897,-80.38304605,5,1,0,0,0
6,11,27.7545079,-80.39134828,5,1,0,0,0
6,10,27.75846974,-80.3938231,5,0,1,0,0
6,10,27.7620904,-80.39615898,5,1,0,0,0
6,9,27.76465166,-80.39731614,5,1,0,0,0
6,11,27.75656979,-80.39259327,5,0,1,0,0
6,13,27.74739742,-80.38748911,5,1,0,0,0
6,17,27.71808099,-80.37652736,5,1,0,0,0
6,10,27.75771986,-80.3933281,5,0,1,0,0
6,17,27.71354707,-80.37520213,5,0,0,1,0
6,9,27.76636887,-80.39820749,5,0,1,0,0
6,16,27.72343998,-80.37836525,5,1,0,0,0
6,16,27.72487366,-80.3787913,5,1,0,0,0
6,15,27.73184448,-80.38056901,5,1,0,0,0
6,10,27.7576236,-80.39330274,5,1,0,0,0
6,17,27.71866428,-80.37659838,5,0,1,0,0
6,15,27.73515203,-80.38187267,5,1,0,0,0
6,10,27.76219988,-80.39615044,5,1,0,0,0
6,15,27.73550847,-80.38205674,5,0,1,0,0
6,14,27.73921946,-80.38346626,5,1,0,0,0
6,10,27.75742189,-80.39321696,5,1,0,0,0
6,17,27.714081,-80.37524705,5,0,1,0,0
6,15,27.73254,-80.38081184,5,1,0,0,0
6,14,27.74210431,-80.38480985,5,0,1,0,0
6,17,27.71221261,-80.37484606,5,1,0,0,0
6,13,27.74839918,-80.38799259,5,1,0,0,0
6,14,27.73850128,-80.38327794,5,1,0,0,0
6,17,27.71864905,-80.37665151,5,1,0,0,0
6,15,27.72975969,-80.38000292,5,1,0,0,0
6,11,27.75121385,-80.38943939,5,1,0,0,0
6,10,27.75999421,-80.3949849,5,1,0,0,0
6,10,27.75882034,-80.39434059,5,1,0,0,0
6,15,27.73524616,-80.38185651,5,1,0,0,0
6,17,27.71393833,-80.37534068,10,1,0,0,0
6,17,27.71404057,-80.37534701,5,0,1,0,0
7,17,27.71275111,-80.3748871,10,1,0,0,0
7,10,27.7618381,-80.39603217,5,1,0,0,0
7,10,27.76069105,-80.39534292,5,0,1,0,0
6,10,27.75756071,-80.39332368,5,0,1,0,0
6,15,27.73337126,-80.3812018,5,1,0,0,0
6,10,27.7628239,-80.39651425,5,0,1,0,0
6,9,27.76743728,-80.39873782,5,1,0,0,0
6,9,27.76554365,-80.39777829,5,1,0,0,0
6,15,27.73233712,-80.38076345,5,1,0,0,0
6,11,27.75077265,-80.38914338,5,1,0,0,0
6,11,27.7546131,-80.39145955,5,1,0,0,0
6,10,27.76044854,-80.39542842,5,1,0,0,0
6,15,27.73083497,-80.38027702,5,1,0,0,0
6,17,27.71656278,-80.37608075,5,0,1,0,0
6,10,27.76058787,-80.39548508,5,0,1,0,0
5,13,27.7504962,-80.38914609,5,1,0,0,0
6,10,27.75879462,-80.39405276,5,0,1,0,0
6,11,27.75542763,-80.39193737,5,0,1,0,0
6,9,27.76714515,-80.39862001,5,0,1,0,0
6,10,27.75768947,-80.39328152,5,0,1,0,0
6,9,27.76717654,-80.39858874,5,0,1,0,0
6,9,27.76413188,-80.39709101,5,0,1,0,0
6,10,27.76253483,-80.39638201,5,0,1,0,0
6,15,27.7325587,-80.3808298,5,0,0,1,0
6,13,27.7462663,-80.38694122,5,1,0,0,0
6,11,27.75368857,-80.39089482,5,0,1,0,0
6,10,27.75838595,-80.39377921,5,0,1,0,0
6,16,27.7283948,-80.37959051,5,1,0,0,0
6,15,27.73689301,-80.38262292,5,1,0,0,0
6,11,27.75064275,-80.38907977,5,0,1,0,0
6,15,27.73288692,-80.38097079,5,1,0,0,0
6,9,27.76301043,-80.39661462,5,1,0,0,0
